id_ordre,courtier,frais
ORD1000,Broker Gamma,7.67
ORD1001,Broker Gamma,14.13
ORD1002,Broker Beta,4.87
ORD1003,Broker Beta,24.69
ORD1004,Broker Alpha,7.92
ORD1005,Broker Gamma,8.46
ORD1006,Broker Gamma,5.28
ORD1007,Broker Alpha,12.06
ORD1008,Broker Beta,15.03
ORD1009,Broker Alpha,30.28
ORD1010,Broker Beta,9.09
ORD1011,Broker Gamma,10.42
ORD1012,Broker Gamma,6.93
ORD1013,Broker Gamma,8.21
ORD1014,Broker Alpha,12.31
ORD1015,Broker Alpha,7.16
ORD1016,Broker Alpha,6.82
ORD1017,Broker Beta,11.71
ORD1018,Broker Alpha,30.84
ORD1019,Broker Gamma,29.76
ORD1020,Broker Beta,10.18
ORD1021,Broker Alpha,24.28
ORD1022,Broker Beta,9.43
ORD1023,Broker Alpha,24.98
ORD1024,Broker Beta,13.71
ORD1025,Broker Gamma,11.37
ORD1026,Broker Alpha,15.21
ORD1027,Broker Alpha,6.66
ORD1028,Broker Gamma,23.47
ORD1029,Broker Alpha,11.41
ORD1030,Broker Alpha,7.84
ORD1031,Broker Gamma,6.94
ORD1032,Broker Alpha,16.2
ORD1033,Broker Alpha,29.16
ORD1034,Broker Gamma,30.93
ORD1035,Broker Gamma,14.2
ORD1036,Broker Beta,5.5
ORD1037,Broker Alpha,9.51
ORD1038,Broker Beta,6.22
ORD1039,Broker Beta,30.29
ORD1040,Broker Beta,24.25
ORD1041,Broker Alpha,13.44
ORD1042,Broker Beta,15.1
ORD1043,Broker Gamma,31.22
ORD1044,Broker Gamma,8.33
ORD1045,Broker Gamma,32.21
ORD1046,Broker Gamma,28.92
ORD1047,Broker Gamma,11.11
ORD1048,Broker Alpha,12.04
ORD1049,Broker Gamma,10.07
ORD1050,Broker Beta,32.24
ORD1051,Broker Alpha,10.91
ORD1052,Broker Alpha,15.14
ORD1053,Broker Alpha,26.24
ORD1054,Broker Gamma,11.2
ORD1055,Broker Beta,10.16
ORD1056,Broker Gamma,13.56
ORD1057,Broker Beta,29.13
ORD1058,Broker Gamma,9.17
ORD1059,Broker Beta,10.1
ORD1060,Broker Alpha,14.77
ORD1061,Broker Alpha,23.8
ORD1062,Broker Gamma,34.55
ORD1063,Broker Gamma,7.01
ORD1064,Broker Gamma,31.61
ORD1065,Broker Gamma,24.61
ORD1066,Broker Gamma,12.98
ORD1067,Broker Beta,15.31
ORD1068,Broker Beta,9.99
ORD1069,Broker Beta,14.58
ORD1070,Broker Gamma,29.95
ORD1071,Broker Gamma,8.78
ORD1072,Broker Beta,15.61
ORD1073,Broker Gamma,12.29
ORD1074,Broker Alpha,33.2
ORD1075,Broker Alpha,26.51
ORD1076,Broker Beta,24.3
ORD1077,Broker Alpha,9.1
ORD1078,Broker Alpha,8.98
ORD1079,Broker Gamma,9.84
ORD1080,Broker Alpha,26.25
ORD1081,Broker Gamma,8.76
ORD1082,Broker Gamma,24.78
ORD1083,Broker Beta,5.37
ORD1084,Broker Beta,11.66
ORD1085,Broker Gamma,27.74
ORD1086,Broker Beta,10.77
ORD1087,Broker Beta,12.56
ORD1088,Broker Gamma,8.1
ORD1089,Broker Gamma,9.04
ORD1090,Broker Alpha,15.12
ORD1091,Broker Alpha,30.24
ORD1092,Broker Alpha,12.58
ORD1093,Broker Beta,6.83
ORD1094,Broker Beta,14.23
ORD1095,Broker Alpha,8.57
ORD1096,Broker Gamma,11.35
ORD1097,Broker Gamma,9.42
ORD1098,Broker Gamma,11.66
ORD1099,Broker Alpha,10.07
ORD1100,Broker Alpha,7.02
ORD1101,Broker Alpha,13.21
ORD1102,Broker Beta,12.12
ORD1103,Broker Gamma,9.35
ORD1104,Broker Alpha,16.81
ORD1105,Broker Beta,15.51
ORD1106,Broker Beta,29.06
ORD1107,Broker Beta,14.73
ORD1108,Broker Alpha,14.31
ORD1109,Broker Beta,15.18
ORD1110,Broker Beta,9.26
ORD1111,Broker Beta,11.67
ORD1112,Broker Beta,10.55
ORD1113,Broker Beta,8.19
ORD1114,Broker Gamma,31.3
ORD1115,Broker Beta,5.79
ORD1116,Broker Gamma,11.41
ORD1117,Broker Gamma,14.92
ORD1118,Broker Alpha,14.74
ORD1119,Broker Beta,33.99
ORD1120,Broker Gamma,11.29
ORD1121,Broker Beta,11.85
ORD1122,Broker Gamma,9.05
ORD1123,Broker Gamma,27.88
ORD1124,Broker Gamma,7.35
ORD1125,Broker Alpha,13.05
ORD1126,Broker Beta,27.41
ORD1127,Broker Beta,14.55
ORD1128,Broker Gamma,9.47
ORD1129,Broker Gamma,13.88
ORD1130,Broker Alpha,14.89
ORD1131,Broker Gamma,8.4
ORD1132,Broker Beta,15.48
ORD1133,Broker Alpha,6.13
ORD1134,Broker Gamma,11.39
ORD1135,Broker Beta,5.69
ORD1136,Broker Gamma,26.76
ORD1137,Broker Beta,11.52
ORD1138,Broker Alpha,14.0
ORD1139,Broker Alpha,32.13
ORD1140,Broker Alpha,13.75
ORD1141,Broker Alpha,5.67
ORD1142,Broker Alpha,8.09
ORD1143,Broker Alpha,9.43
ORD1144,Broker Alpha,15.47
ORD1145,Broker Beta,9.34
ORD1146,Broker Alpha,25.55
ORD1147,Broker Gamma,10.06
ORD1148,Broker Gamma,10.76
ORD1149,Broker Alpha,5.88
ORD1150,Broker Gamma,14.56
ORD1151,Broker Alpha,9.86
ORD1152,Broker Beta,6.04
ORD1153,Broker Beta,13.91
ORD1154,Broker Alpha,5.18
ORD1155,Broker Gamma,9.57
ORD1156,Broker Gamma,5.61
ORD1157,Broker Alpha,16.62
ORD1158,Broker Beta,9.12
ORD1159,Broker Gamma,5.52
ORD1160,Broker Alpha,8.69
ORD1161,Broker Beta,13.03
ORD1162,Broker Beta,22.28
ORD1163,Broker Alpha,7.96
ORD1164,Broker Alpha,11.33
ORD1165,Broker Gamma,9.71
ORD1166,Broker Beta,5.48
ORD1167,Broker Gamma,9.94
ORD1168,Broker Gamma,23.26
ORD1169,Broker Alpha,12.18
ORD1170,Broker Alpha,5.34
ORD1171,Broker Alpha,11.41
ORD1172,Broker Gamma,24.58
ORD1173,Broker Beta,6.81
ORD1174,Broker Gamma,10.36
ORD1175,Broker Gamma,12.05
ORD1176,Broker Alpha,26.09
ORD1177,Broker Beta,10.64
ORD1178,Broker Alpha,6.43
ORD1179,Broker Gamma,14.25
ORD1180,Broker Gamma,16.79
ORD1181,Broker Gamma,6.32
ORD1182,Broker Gamma,9.37
ORD1183,Broker Beta,32.7
ORD1184,Broker Gamma,8.84
ORD1185,Broker Beta,8.53
ORD1186,Broker Beta,4.95
ORD1187,Broker Gamma,24.37
ORD1188,Broker Alpha,16.49
ORD1189,Broker Beta,22.95
ORD1190,Broker Beta,15.74
ORD1191,Broker Gamma,25.58
ORD1192,Broker Alpha,12.35
ORD1193,Broker Beta,7.25
ORD1194,Broker Gamma,6.43
ORD1195,Broker Alpha,13.41
ORD1196,Broker Gamma,29.92
ORD1197,Broker Beta,23.51
ORD1198,Broker Gamma,24.77
ORD1199,Broker Gamma,9.67
ORD1200,Broker Gamma,13.37
ORD1201,Broker Gamma,5.57
ORD1202,Broker Beta,8.93
ORD1203,Broker Alpha,21.3
ORD1204,Broker Alpha,12.67
ORD1205,Broker Gamma,11.48
ORD1206,Broker Beta,5.77
ORD1207,Broker Beta,12.94
ORD1208,Broker Beta,15.16
ORD1209,Broker Alpha,16.7
ORD1210,Broker Gamma,8.58
ORD1211,Broker Alpha,11.49
ORD1212,Broker Alpha,13.21
ORD1213,Broker Beta,11.35
ORD1214,Broker Beta,33.26
ORD1215,Broker Beta,14.59
ORD1216,Broker Beta,8.4
ORD1217,Broker Alpha,12.86
ORD1218,Broker Alpha,11.83
ORD1219,Broker Beta,28.68
ORD9001,Broker Beta,2480.0
ORD9002,Broker Alpha,14.25
ORD9003,Broker Gamma,630.0
ORD9004,Broker Beta,18.0
ORD9005,Broker Alpha,1125.0
ORD9006,Broker Gamma,950.0
