id_ordre,statut_execution,montant_execute,heure_execution
ORD1000,Executé,7674.48,2026-06-14 19:20
ORD1001,Executé,14131.92,2026-06-04 16:23
ORD1002,Executé,4871.34,2026-07-25 13:24
ORD1003,Executé,24692.86,2026-07-15 17:52
ORD1004,Executé,7917.75,2026-07-17 17:18
ORD1005,Executé,8459.39,2026-06-13 14:35
ORD1006,Executé,5283.6,2026-06-10 18:21
ORD1007,Executé,12060.76,2026-08-11 12:01
ORD1008,Executé,15028.68,2026-06-28 18:38
ORD1009,Executé,30278.64,2026-06-19 12:32
ORD1010,Executé,9088.64,2026-06-18 17:15
ORD1011,Executé,10417.8,2026-06-09 15:08
ORD1012,Executé,6928.46,2026-07-05 18:38
ORD1013,Executé,8212.16,2026-06-23 17:09
ORD1014,Executé,12309.3,2026-08-07 08:58
ORD1015,Executé,7156.52,2026-06-08 12:31
ORD1016,Executé,6816.86,2026-06-17 19:15
ORD1017,Executé,11710.74,2026-07-10 14:47
ORD1018,Executé,30835.08,2026-06-03 17:50
ORD1019,Executé,29758.33,2026-06-05 13:41
ORD1020,Executé,10180.45,2026-07-31 12:13
ORD1021,Executé,24283.74,2026-07-23 16:02
ORD1022,Executé,9428.56,2026-06-25 11:39
ORD1023,Executé,24980.25,2026-08-10 09:34
ORD1024,Executé,13711.72,2026-07-22 08:40
ORD1025,Executé,11366.74,2026-07-25 17:20
ORD1026,Executé,15208.32,2026-08-09 09:21
ORD1027,Executé,6659.8,2026-06-08 16:31
ORD1028,Executé,23467.92,2026-08-12 12:20
ORD1029,Executé,11409.44,2026-07-11 11:21
ORD1030,Executé,7835.97,2026-07-29 17:59
ORD1031,Executé,6944.5,2026-07-02 14:00
ORD1032,Executé,16196.37,2026-06-02 19:28
ORD1033,Executé,29163.76,2026-07-05 12:42
ORD1034,Executé,30932.16,2026-07-25 12:13
ORD1035,Executé,14203.33,2026-07-27 16:55
ORD1036,Executé,5504.32,2026-06-05 13:40
ORD1037,Executé,9512.43,2026-06-27 18:31
ORD1038,Executé,6216.0,2026-06-23 14:17
ORD1039,Executé,30293.84,2026-06-21 09:47
ORD1040,Executé,24254.32,2026-06-30 11:19
ORD1041,Executé,13444.11,2026-08-05 15:00
ORD1042,Executé,15104.79,2026-06-14 17:40
ORD1043,Executé,31224.6,2026-06-06 14:22
ORD1044,Executé,8332.74,2026-07-11 19:20
ORD1045,Executé,32207.32,2026-07-08 16:20
ORD1046,Executé,28917.9,2026-08-12 13:04
ORD1047,Executé,11107.2,2026-07-12 15:39
ORD1048,Executé,12036.0,2026-06-11 12:45
ORD1049,Executé,10070.25,2026-06-04 08:28
ORD1050,Executé,32241.68,2026-07-20 15:32
ORD1051,Executé,10906.83,2026-06-29 11:21
ORD1052,Executé,15142.35,2026-07-30 19:02
ORD1053,Executé,26241.6,2026-07-31 15:45
ORD1054,Executé,11204.8,2026-07-07 11:42
ORD1055,Executé,10158.72,2026-06-20 11:31
ORD1056,Executé,13562.64,2026-08-14 09:21
ORD1057,Executé,29129.66,2026-08-09 18:22
ORD1058,Executé,9167.16,2026-07-22 11:30
ORD1059,Executé,10099.15,2026-06-04 10:06
ORD1060,Executé,14768.75,2026-06-28 15:51
ORD1061,Executé,23803.56,2026-08-09 08:38
ORD1062,Executé,34547.14,2026-06-03 17:39
ORD1063,Executé,7007.4,2026-07-03 13:30
ORD1064,Executé,31610.08,2026-07-19 15:05
ORD1065,Executé,24607.08,2026-06-16 18:23
ORD1066,Executé,12981.15,2026-07-14 09:24
ORD1067,Executé,15305.76,2026-06-20 14:29
ORD1068,Executé,9993.2,2026-07-02 09:42
ORD1069,Executé,14575.21,2026-06-04 16:16
ORD1070,Executé,29946.8,2026-07-06 16:16
ORD1071,Executé,8784.27,2026-07-31 19:11
ORD1072,Executé,15610.79,2026-07-02 13:18
ORD1073,Executé,12287.18,2026-07-16 15:25
ORD1074,Executé,33197.42,2026-08-08 10:31
ORD1075,Executé,26506.06,2026-07-17 11:04
ORD1076,Executé,24299.0,2026-08-02 09:59
ORD1077,Executé,9095.1,2026-08-01 09:56
ORD1078,Executé,8979.2,2026-06-20 17:59
ORD1079,Executé,9835.5,2026-08-06 14:32
ORD1080,Executé,26250.3,2026-06-13 12:16
ORD1081,Executé,8760.32,2026-06-21 08:45
ORD1082,Executé,24783.86,2026-07-29 09:58
ORD1083,Executé,5370.1,2026-06-20 13:29
ORD1084,Executé,11660.22,2026-07-27 09:32
ORD1085,Executé,27741.18,2026-07-12 17:34
ORD1086,Executé,10773.6,2026-06-06 10:36
ORD1087,Executé,12563.24,2026-07-15 14:53
ORD1088,Executé,8100.75,2026-07-22 16:28
ORD1089,Executé,9042.0,2026-06-01 19:27
ORD1090,Executé,15124.8,2026-07-27 08:21
ORD1091,Executé,30236.8,2026-07-01 10:49
ORD1092,Executé,12575.1,2026-06-20 16:35
ORD1093,Executé,6830.08,2026-07-20 12:31
ORD1094,Executé,14227.64,2026-06-01 13:09
ORD1095,Executé,8573.12,2026-08-10 16:49
ORD1096,Executé,11351.08,2026-07-23 08:29
ORD1097,Executé,9417.49,2026-08-15 14:22
ORD1098,Executé,11658.78,2026-06-20 09:52
ORD1099,Executé,10073.7,2026-08-08 14:39
ORD1100,Executé,7018.64,2026-06-12 14:27
ORD1101,Executé,13209.82,2026-07-08 13:35
ORD1102,Executé,12122.88,2026-06-23 09:56
ORD1103,Executé,9348.77,2026-07-03 18:23
ORD1104,Executé,16810.95,2026-07-09 18:58
ORD1105,Executé,15513.96,2026-07-01 15:19
ORD1106,Executé,29055.73,2026-07-06 09:15
ORD1107,Executé,14726.4,2026-06-29 18:15
ORD1108,Executé,14313.99,2026-07-27 08:49
ORD1109,Executé,15181.47,2026-06-17 17:27
ORD1110,Executé,9256.5,2026-07-14 10:13
ORD1111,Executé,11666.82,2026-08-11 13:49
ORD1112,Executé,10549.53,2026-08-14 15:28
ORD1113,Executé,8193.06,2026-06-29 18:07
ORD1114,Executé,31296.73,2026-08-03 09:51
ORD1115,Executé,5794.44,2026-07-24 18:14
ORD1116,Executé,11413.2,2026-06-05 13:37
ORD1117,Executé,14924.56,2026-07-16 09:07
ORD1118,Executé,14742.0,2026-06-03 09:26
ORD1119,Executé,33994.03,2026-08-15 11:53
ORD1120,Executé,11292.82,2026-06-19 10:50
ORD1121,Executé,11846.34,2026-07-12 08:16
ORD1122,Executé,9045.14,2026-07-28 14:15
ORD1123,Executé,27884.4,2026-07-09 16:13
ORD1124,Executé,7354.72,2026-07-27 10:37
ORD1125,Executé,13053.48,2026-08-14 17:13
ORD1126,Executé,27410.63,2026-06-15 19:11
ORD1127,Executé,14548.38,2026-07-24 10:04
ORD1128,Executé,9473.93,2026-06-09 10:02
