id_ordre,date_passage,client,gestionnaire,instrument,sens,quantite,prix_unitaire
ORD1080,2026-06-13 11:40,Client_D,Sophie L.,OPCVM Actions Europe,Achat,90,291.67
ORD1217,2026-06-21 15:41,Client_E,Julien P.,Action LVMH,Vente,414,31.07
ORD1193,2026-07-11 11:29,Client_B,Sophie L.,ETF MSCI World,Achat,82,88.45
ORD1001,2026-06-04 16:12,Client_G,Julien P.,ETF MSCI World,Vente,424,33.33
ORD1216,2026-07-29 18:34,Client_H,Julien P.,Obligation Etat FR,Vente,149,56.35
ORD1139,2026-06-17 14:34,Client_D,Sophie L.,Action LVMH,Vente,451,71.25
ORD1041,2026-08-05 14:43,Client_F,Marie D.,Action LVMH,Vente,101,133.11
ORD1090,2026-07-27 08:13,Client_E,Julien P.,OPCVM Obligataire EUR,Vente,460,32.88
ORD1189,2026-07-14 17:02,Client_A,Marie D.,Action LVMH,Vente,343,66.91
ORD1210,2026-07-08 08:18,Client_B,Sophie L.,ETF MSCI World,Vente,392,21.88
ORD1076,2026-08-02 09:55,Client_A,Sophie L.,ETF MSCI World,Vente,235,103.4
ORD1100,2026-06-12 14:06,Client_B,Antoine R.,Action TotalEnergies,Vente,472,14.87
ORD1064,2026-07-19 14:45,Client_D,Marie D.,Action Sanofi,Achat,62,509.84
ORD1070,2026-07-06 16:00,Client_D,Marie D.,Action TotalEnergies,Vente,260,115.18
ORD1096,2026-07-23 08:20,Client_H,Antoine R.,ETF MSCI World,Achat,263,43.16
ORD1007,2026-08-11 11:43,Client_F,Marie D.,Action TotalEnergies,Achat,422,28.58
ORD9006,2026-08-05 09:45,Client_C,Sophie L.,Action TotalEnergies,Achat,100,60.0
ORD1099,2026-08-08 14:20,Client_H,Marie D.,Action Sanofi,Achat,130,77.49
ORD1195,2026-07-30 15:56,Client_E,Antoine R.,Action LVMH,Achat,493,27.21
ORD1105,2026-07-01 14:36,Client_F,Sophie L.,OPCVM Actions Europe,Vente,21,738.76
ORD1071,2026-07-31 18:45,Client_H,Antoine R.,Obligation Etat FR,Achat,57,154.11
ORD1156,2026-07-19 10:10,Client_C,Julien P.,OPCVM Actions Europe,Vente,32,175.36
ORD1013,2026-06-23 16:58,Client_B,Sophie L.,Obligation Etat FR,Achat,88,93.32
ORD1062,2026-06-03 17:09,Client_D,Julien P.,ETF MSCI World,Achat,298,115.93
ORD1110,2026-07-14 09:29,Client_B,Julien P.,Obligation Etat FR,Achat,450,20.57
ORD1194,2026-07-24 11:55,Client_C,Sophie L.,Action Sanofi,Vente,107,60.11
ORD1025,2026-07-25 16:42,Client_H,Julien P.,Action TotalEnergies,Vente,121,93.94
ORD1072,2026-07-02 12:42,Client_F,Antoine R.,Action Sanofi,Vente,227,68.77
ORD1021,2026-07-23 15:55,Client_A,Marie D.,Action LVMH,Vente,382,63.57
ORD1117,2026-07-16 08:25,Client_E,Julien P.,Action LVMH,Vente,56,266.51
ORD1200,2026-07-17 10:12,Client_G,Marie D.,Action LVMH,Achat,80,167.08
ORD1102,2026-06-23 09:39,Client_G,Julien P.,ETF MSCI World,Achat,128,94.71
ORD1037,2026-06-27 18:15,Client_B,Sophie L.,Obligation Etat FR,Vente,327,29.09
ORD1161,2026-06-29 15:56,Client_F,Marie D.,ETF MSCI World,Achat,212,61.48
ORD1181,2026-08-02 11:07,Client_C,Marie D.,ETF MSCI World,Achat,470,13.44
ORD1208,2026-08-11 12:14,Client_E,Sophie L.,OPCVM Actions Europe,Achat,363,41.77
ORD1081,2026-06-21 08:26,Client_H,Antoine R.,OPCVM Obligataire EUR,Achat,128,68.44
ORD1206,2026-07-31 08:45,Client_C,Julien P.,Action Sanofi,Vente,349,16.53
ORD1148,2026-06-25 13:38,Client_H,Julien P.,Action LVMH,Vente,62,173.59
ORD1045,2026-07-08 16:08,Client_D,Antoine R.,OPCVM Actions Europe,Vente,356,90.47
ORD1074,2026-08-08 10:12,Client_D,Antoine R.,OPCVM Obligataire EUR,Vente,61,544.22
ORD1061,2026-08-09 08:22,Client_D,Marie D.,Obligation Etat FR,Achat,396,60.11
ORD1150,2026-07-17 13:58,Client_E,Antoine R.,ETF MSCI World,Vente,357,40.79
ORD1201,2026-07-29 10:38,Client_C,Sophie L.,Action Sanofi,Vente,93,59.89
ORD1009,2026-06-19 12:08,Client_D,Sophie L.,OPCVM Actions Europe,Vente,469,64.56
ORD1212,2026-06-30 08:06,Client_G,Sophie L.,OPCVM Actions Europe,Vente,61,216.5
ORD1209,2026-07-15 16:59,Client_E,Sophie L.,Action LVMH,Vente,468,35.69
ORD9001,2026-06-21 14:10,Client_B,Julien P.,Action LVMH,Achat,4000,620.0
ORD1043,2026-06-06 14:00,Client_D,Sophie L.,ETF MSCI World,Achat,495,63.08
ORD1097,2026-08-15 13:55,Client_B,Antoine R.,Action LVMH,Vente,17,553.97
ORD1089,2026-06-01 18:55,Client_H,Antoine R.,Action LVMH,Achat,275,32.88
ORD1178,2026-07-20 17:02,Client_C,Antoine R.,OPCVM Obligataire EUR,Vente,237,27.14
ORD1036,2026-06-05 13:37,Client_C,Antoine R.,Action TotalEnergies,Achat,167,32.96
ORD1046,2026-08-12 12:25,Client_A,Sophie L.,OPCVM Obligataire EUR,Achat,230,125.73
ORD1126,2026-06-15 18:41,Client_D,Antoine R.,ETF MSCI World,Achat,221,124.03
ORD1204,2026-08-07 18:46,Client_G,Julien P.,Obligation Etat FR,Achat,26,487.36
ORD1136,2026-07-27 14:17,Client_D,Marie D.,OPCVM Obligataire EUR,Vente,66,405.44
ORD1032,2026-06-02 18:52,Client_E,Marie D.,Action TotalEnergies,Vente,69,234.73
ORD1127,2026-07-24 09:20,Client_G,Sophie L.,OPCVM Actions Europe,Vente,201,72.38
ORD1003,2026-07-15 17:16,Client_A,Antoine R.,Action Sanofi,Achat,482,51.23
ORD1049,2026-06-04 08:15,Client_H,Marie D.,ETF MSCI World,Vente,463,21.75
ORD1165,2026-07-24 18:50,Client_H,Marie D.,Action LVMH,Vente,315,30.83
ORD1109,2026-06-17 16:56,Client_F,Sophie L.,Obligation Etat FR,Achat,141,107.67
ORD1027,2026-06-08 16:05,Client_C,Marie D.,Action Sanofi,Achat,355,18.76
ORD1091,2026-07-01 10:19,Client_A,Antoine R.,Action LVMH,Achat,440,68.72
ORD1196,2026-06-28 17:22,Client_A,Marie D.,OPCVM Obligataire EUR,Vente,315,94.99
